Key,title,headline_length,article_word_count,author,publisher,publisher_country,publisher_type,published_date,collection_date,link,full_text,source_type,keyword_trigger
2000,Latest News & Updates,21,32,Unknown,BBC,UK,Public Broadcaster,Unknown,3/14/2026,https://www.bbc.com/news/world/middle_east,"'There's no hiding place on a ship': The sailors stranded near Iran

Drones, cruise missiles and fighter jets have become a common sight for many sailors stranded on ships in the Gulf.",ARCHIVE,middle east
2001,Three more Iran football team members change minds over asylum,62,51,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/articles/c98gz372683o,"Zahra Soltan Meshkehkar, a member of the team's technical staff, was one of two more women from the group to seek asylum the next day. The other – Mohaddeseh Zolfi – changed her mind hours after being given the right to stay. She is understood to have already rejoined the team.",ARCHIVE,iran
2002,Hamas urges key ally Iran to halt attacks on Gulf states,56,27,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/articles/cvg3xk6xgyzo,"At the same time, Hamas, which runs Gaza, affirmed Tehran's right to defend itself against attacks by the US and Israel, which are continuing to strike Iran.",ARCHIVE,iran
2003,"Russia exploiting Iran war, Zelensky says after fresh bombardment",65,46,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/articles/c0mger2zkmwo,His remarks reflect that the missiles used by air-defence systems are rapidly being expended in the Middle East as US-aligned Gulf states seek to neutralise Iranian missile and drone attacks. Zelensky has already expressed concerns that the war could leave Ukraine struggling to source defensive weaponry.,ARCHIVE,iran
2004,"More US Marines and warships being moved to Middle East, reports say",68,43,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/articles/cq8gj9n12g8o,"The Wall Street Journal, which first reported the movement of US personnel, also reported that the request for reinforcements was made by US Central Command, the part of the US military responsible for the Middle East, and approved by Defence Secretary Pete Hegseth.",ARCHIVE,middle east
2005,Kharg Island: Why has it been targeted by the US?,49,50,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/articles/c8jxzlwvd8ro,"Trump, however, warned that he would reconsider the decision not to target oil facilities on the island should Iran or others ""do anything to interfere"" with the safe passage of ships through the Strait of Hormuz - one of the world's most important shipping channels, located south of Iran's coast.",ARCHIVE,iran
2006,How the bombing of Iran sent shockwaves around the world,56,74,"Paul Adams, Diplomatic Correspondent, The Visual Journalism Team",BBC,UK,Public Broadcaster,Unknown,3/14/2026,https://www.bbc.co.uk/news/resources/idt-259820d0-52f5-42b2-af79-bca71d9b0aba,"Successive US presidents have talked about the need to “pivot” to Asia and concentrate US efforts on meeting the economic and military challenges posed by a rising China. The war in Iran demonstrates, yet again, that the wider Middle East has a way of sucking America back in. Trump’s National Security Strategy, published just last November, said Iran had already been significantly weakened and that the Middle East was consequently a less troublesome region.",ARCHIVE,iran
2007,"Under drone fire, exiled Kurds wait to confront Iranian regime",62,55,Unknown,BBC,UK,Public Broadcaster,3/13/2026,3/14/2026,https://www.bbc.com/news/articles/c79505804lpo,"""I will go to my mother's grave, then my fathers, and my brothers,"" he says. ""I will go to all the friends and family I will never see again, and lay flowers and tell them: 'I remember you always, and I cry for you.'"" At this, he is silenced by his grief and his memories.",ARCHIVE,iran
2008,Watch: Why Kharg Island is a lifeline for Iran,46,96,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/videos/c4g7ddn9xz0o,"Kharg Island is a small rocky outcrop just 15 miles (24km) off the coast of Iran - but despite its size, it is one of the most critical pieces of Iran's energy infrastructure.

US President Donald Trump recently posted on Truth Social that the US military had conducted what he called one of the most powerful bombing raids in the history of the Middle East, obliterating every military target on the island.

Security analyst Mikey Kay breaks down why Kharg Island is a lifeline for Iran, and why it is so strategically important for the US.",ARCHIVE,iran
2009,Justified or not? US military families on fears of Iran war,59,78,Unknown,BBC,UK,Public Broadcaster,3/12/2026,3/14/2026,https://www.bbc.com/news/videos/cqxd7lyngxjo,"Nearly two weeks into the US and Israel's war with Iran, Donald Trump has shown no signs that the 'excursion' is coming to a close.

As President Trump travelled to Kentucky on Wednesday to speak to supporters, the BBC's North America editor Sarah Smith spoke to two military families in the state - Iraq veteran Jeremy and Lynn, whose son died in Iraq - about their fears that the war with Iran could become a similarly extended conflict.",ARCHIVE,iran
2010,BBC visits aftermath of Israeli strike on Lebanon that killed family as IDF targets Hezbollah,93,46,Unknown,BBC,UK,Public Broadcaster,3/14/2026,3/14/2026,https://www.bbc.com/news/articles/c20lvn0ex6yo,"""It was three [related] families having an iftar together… we always have gatherings together, we always sit at each other's houses,"" he said. ""My house is nearby and when I heard the sounds, I came screaming and I saw something that I had never seen before"".",ARCHIVE,israel
2011,"Iran War: Latest News, Live Coverage and Video",46,20,Unknown,NBC News,US,Broadcast Network,Unknown,3/14/2026,https://www.nbcnews.com/world/iran-war,The White House says its war meme strategy has viewers focused on the military’s successes. Others see a “disturbing” development.,ARCHIVE,iran
